ID Historia;Rol;Necesito;Característica / Funcionalidad;Con la finalidad de;Razón / Resultado;REDACCIÓN;# Escenario;Criterio de Aceptación (Título);ID Criterio;Contexto;Evento;Resultado / Comportamiento esperado
HU0006;;;;;;;2;Eliminación efectiva;HU0006-2;El docente confirma la eliminación;Confirma en el cuadro de diálogo;El alumno desaparece de la lista de alumnos
HU0007;Psicólogo;Necesito;registrar la encuesta EDAH de un alumno;Con la finalidad de:;evaluar sus indicadores de TDAH;Como psicólogo quiero registrar la encuesta EDAH de un alumno para evaluar sus indicadores de TDAH;1;Registro de la encuesta;HU0007-1;El psicólogo selecciona un alumno en la encuesta;Responde los ítems en escala 0 a 3 y guarda;El sistema guarda la encuesta y muestra confirmación
HU0007;;;;;;;2;Cálculo de totales EDAH;HU0007-2;La encuesta tiene todas las respuestas;El sistema procesa los ítems;Calcula los totales de Déficit de Atención, Hiperactividad y Conducta (DA/HI/TC)
HU0008;Docente;Necesito;registrar los días de inasistencia del alumno;Con la finalidad de:;que se consideren en la predicción;Como docente quiero registrar los días de inasistencia del alumno para que se consideren en la predicción;1;Registro de inasistencias;HU0008-1;El docente está en el formulario de encuesta;Ingresa el número de días de inasistencia;El valor se guarda y se incluye en el vector de variables de la predicción
HU0009;Psicólogo;Necesito;ver las respuestas de la encuesta de un alumno;Con la finalidad de:;revisar su evaluación psicoeducativa;Como psicólogo quiero ver las respuestas de la encuesta de un alumno para revisar su evaluación psicoeducativa;1;Visualización de respuestas;HU0009-1;El alumno tiene una encuesta registrada;Selecciona la opción "Ver Respuestas" y elige al alumno;Muestra cada ítem DA/HI/TC con su valor, los totales, inasistencias y fecha
HU0009;;;;;;;2;Alumno sin encuesta;HU0009-2;El alumno no tiene encuestas;Selecciona al alumno en "Ver Respuestas";Muestra el mensaje "No hay encuestas registradas para este estudiante"
HU0010;Docente;Necesito;ingresar las notas de cada curso dentro de un bimestre;Con la finalidad de:;registrar el rendimiento del alumno;Como docente quiero ingresar las notas de cada curso dentro de un bimestre para registrar el rendimiento del alumno;1;Registro de notas por curso;HU0010-1;El docente elige alumno y bimestre;Ingresa la nota (AD/A/B/C) de cada asignatura y guarda;El sistema guarda las notas del bimestre
HU0010;;;;;;;2;Evitar notas duplicadas;HU0010-2;Ya existe la nota de un curso en ese bimestre;Vuelve a registrar la nota de ese curso;El sistema actualiza la nota existente en lugar de duplicarla
HU0011;Docente;Necesito;que el sistema calcule el promedio del bimestre;Con la finalidad de:;no tener que calcularlo manualmente;Como docente quiero que el sistema calcule el promedio del bimestre para no tener que calcularlo manualmente;1;Promedio en letra;HU0011-1;Hay notas registradas en el bimestre;El sistema promedia las notas de los cursos;Muestra el promedio del bimestre únicamente como letra (AD/A/B/C)
HU0012;Docente;Necesito;ver el listado de notas del alumno;Con la finalidad de:;revisar su rendimiento histórico;Como docente quiero ver el listado de notas del alumno para revisar su rendimiento histórico;1;Historial agrupado;HU0012-1;El alumno tiene notas registradas;Abre el "Histórico de Notas" del alumno;Muestra las notas por bimestre y asignatura con el promedio por bimestre y el promedio general
HU0013;Docente;Necesito;subir las notas de varios alumnos por archivo CSV;Con la finalidad de:;ahorrar tiempo en el registro;Como docente quiero subir las notas de varios alumnos por archivo CSV para ahorrar tiempo en el registro;1;Carga masiva exitosa;HU0013-1;El docente tiene un archivo CSV con el formato correcto;Sube el archivo (alumno_id, bimestre, asignatura, calificación);El sistema registra las notas e informa cuántas se procesaron
HU0013;;;;;;;2;Errores por fila;HU0013-2;El CSV contiene filas con datos inválidos;Procesa el archivo;El sistema informa los errores indicando la fila correspondiente
HU0014;Psicólogo;Necesito;generar la predicción de un alumno;Con la finalidad de:;conocer su nivel de TDAH y riesgo académico;Como psicólogo quiero generar la predicción de un alumno para conocer su nivel de TDAH y riesgo académico;1;Predicción exitosa;HU0014-1;El alumno tiene su encuesta EDAH registrada;Pulsa "Generar Predicción";El sistema calcula y guarda el nivel de TDAH y el riesgo académico
HU0014;;;;;;;2;Falta de encuesta;HU0014-2;El alumno no tiene encuesta registrada;Intenta generar la predicción;El sistema indica que debe registrar primero la encuesta EDAH
HU0015;Psicólogo;Necesito;que el indicador de TDAH lo determine el modelo de ML;Con la finalidad de:;obtener una clasificación objetiva;Como psicólogo quiero que el indicador de TDAH lo determine el modelo de ML para obtener una clasificación objetiva;1;Clasificación del modelo;HU0015-1;Existe una predicción del alumno;El sistema aplica predict_proba y argmax;Muestra Sin TDAH / Sospechoso / Con TDAH con su porcentaje de confianza
HU0015;;;;;;;2;Regla clínica solo informativa;HU0015-2;Existe una predicción del alumno;El sistema calcula el indicador;La regla clínica EDAH se muestra como referencia psicométrica y no decide el resultado
HU0016;Docente;Necesito;ver el nivel de riesgo académico del alumno;Con la finalidad de:;priorizar los apoyos pedagógicos;Como docente quiero ver el nivel de riesgo académico del alumno para priorizar los apoyos pedagógicos;1;Nivel y probabilidad de riesgo;HU0016-1;Existe una predicción del alumno;Abre la predicción o el dashboard;Muestra el riesgo académico (Bajo/Medio/Alto) con su probabilidad
HU0017;Psicólogo;Necesito;ver por qué el modelo generó ese resultado;Con la finalidad de:;sustentar mi evaluación;Como psicólogo quiero ver por qué el modelo generó ese resultado para sustentar mi evaluación;1;Explicación SHAP generada;HU0017-1;Existe una predicción del alumno;Pulsa "Explicar con SHAP";Muestra los factores influyentes (EDAH, inasistencias, rendimiento) y una interpretación
HU0018;Psicólogo;Necesito;ver el historial de predicciones de un alumno;Con la finalidad de:;observar su evolución;Como psicólogo quiero ver el historial de predicciones de un alumno para observar su evolución;1;Historial limpio y con fecha;HU0018-1;El alumno tiene predicciones registradas;Abre el historial de predicciones;Muestra cada predicción con fecha legible y sin la cadena de condiciones
HU0019;Docente;Necesito;un panel del alumno con riesgo, TDAH y rendimiento;Con la finalidad de:;evaluarlo de un vistazo;Como docente quiero un panel del alumno con riesgo, TDAH y rendimiento para evaluarlo de un vistazo;1;Panel del alumno;HU0019-1;El alumno tiene predicción;Lo selecciona en el dashboard;Muestra KPIs, gráficos de dona, factores de riesgo y recomendaciones
HU0019;;;;;;;2;Rendimiento en nota literal;HU0019-2;El alumno tiene notas registradas;Visualiza el panel;El rendimiento general se muestra como nota literal (AD/A/B/C)
HU0020;Psicólogo;Necesito;ver cuántos alumnos tienen alta probabilidad de TDAH y riesgo académico;Con la finalidad de:;dimensionar la situación general;Como psicólogo quiero ver cuántos alumnos tienen alta probabilidad de TDAH y riesgo académico para dimensionar la situación general;1;Conteos generales;HU0020-1;Existen alumnos con predicción;Abre el "Dashboard General";Muestra el total de alumnos con riesgo académico alto y con alta probabilidad de TDAH
HU0021;Psicólogo;Necesito;filtrar por nivel de riesgo o probabilidad de TDAH;Con la finalidad de:;atender a los alumnos de cada grupo;Como psicólogo quiero filtrar por nivel de riesgo o probabilidad de TDAH para atender a los alumnos de cada grupo;1;Filtro con lista de alumnos;HU0021-1;El dashboard general muestra los grupos;Hace clic en un grupo (riesgo o probabilidad de TDAH);Despliega la lista de alumnos pertenecientes a ese grupo
HU0022;Psicólogo;Necesito;ver las métricas macro del modelo;Con la finalidad de:;confiar en su desempeño;Como psicólogo quiero ver las métricas macro del modelo para confiar en su desempeño;1;Panel de métricas;HU0022-1;El modelo está entrenado y publicado;Abre el "Dashboard General";Muestra accuracy, precisión, recall, F1-score y especificidad (macro)
HU0023;Psicólogo;Necesito;descargar el expediente del alumno en PDF;Con la finalidad de:;archivarlo o compartirlo;Como psicólogo quiero descargar el expediente del alumno en PDF para archivarlo o compartirlo;1;Descarga del expediente;HU0023-1;El alumno tiene datos y predicción;Pulsa "Descargar Expediente";Genera un PDF con los datos, el dashboard, la encuesta y la predicción
